,m2858,m260,m1196,m1210,m480,m2028,m589,m2571,m1270,m593,m1580,m1198,m608,m2762,m110,m2396,m1197,m527,m1617,m1265,m1097,m2628,m2997,m318,m858,m356,m2716,m296,m1240,m1,m1214,m2916,m457,m3578,m1200,m541,m2987,m1259,m50,m34,m2791,m780,m3175,m1193,m919,m924,m1127,m2355,m1387,m1221,m912,m1036,m1213,m1610,m377,m1291,m2000,m1136,m3114,m1307,m1704,m1721,m1968,m648,m2599,m32,m3793,m2174,m2797,m2918,m2291,m2959,m3471,m590,m1374,m1394,m2683,m592,m1784,m1573,m1304,m3418,m223,m380,m2706,m1225,m1584,m1527,m3481,m1923,m750,m2699,m39,m21,m1393,m2804,m588,m2406,m1220,m733
m2858,,0.7195046673537266,0.7036084646734612,,,0.7246919911236379,,0.7247996432023627,,0.7358460864159471,,0.7130485445824893,0.7446946576342323,0.7307800108684004,,,0.7008985571190373,0.7443739719823776,0.7609372693951981,,,,0.7280099666647449,0.7658889554720192,0.7677556563415013,,,0.7737433944992282,,,,,,,,0.7175291137158941,,0.7076389080996672,0.8067807213004453,,,,,0.7754331276022433,,,,,,0.7351671114201238,0.7131931954953861,,0.7504636219365395,,,,,0.7322669840657747,,,0.7169269041527409,,,,,,,,,0.7147743012972474,,0.7399845440937498,,,,,,,,,,,0.7002400224919287,,,0.7148520784666069,,,,,0.7405434849414889,,,,,0.7093711482677383,,,,
m260,,,0.9093061720534054,0.83337189473509,,0.7691368538096595,,0.7923747116828529,,0.760336572173429,,0.8772579928089339,,0.7928022026377768,0.7577085682975738,,0.7762548473123183,0.7914298505895994,0.7450695528611925,,,,,0.8096801622823916,0.8037456821890387,,,0.7484508877650652,0.7573264325647202,0.7411482405912088,,,0.7350591780893105,,0.7334924949022736,0.74260042290333,,,0.8158371612137231,,,,,0.7468136879705901,0.7443346515285294,,,,,0.7559712085649197,0.7734649228853667,0.742944769154043,,,,0.7787852009421847,,0.7717792527707548,0.7456229788414847,,,,,,,,,,,,,,,,,,,,,,0.7404064706371539,,,,,,,,,,0.768041629540509,,,,,,,,,
m1196,,0.9093061720534054,,0.8546074813011848,,0.7475721061234765,0.7216085685069853,0.7777734515872652,,0.7378467331970392,,0.8490952535566535,,0.7707012261917956,0.7484335262554187,,0.7639866373185611,0.7594796299564757,,,,,,0.7837078628044643,0.7691283055665824,,0.7272014736494645,0.7339164610011777,0.7418004945158925,0.7385261273396602,0.7242794594976254,,0.7385950599627719,,0.7399019179604549,0.7374556205829537,,,0.784988843480503,,,,,,,,,,,0.7551708978978209,,0.7541223706397227,0.7301371740399758,,,0.7783244075338841,,0.7449173398758542,0.7331894788612893,,,,,,,,,,,0.7204643097774399,,,,,,,,,,,,,,,,,,,,,0.7363597201651936,,,,,,,,,
m1210,,0.83337189473509,0.8546074813011848,,,0.7102332778452044,0.6982312332304735,0.7232806488626632,0.6998680926282528,0.6733247854538623,,0.7705685719753199,,0.710202850544931,0.7175957895159616,,0.6986780312459203,0.6942252223557566,,,,,,0.7195333763202307,,0.6887114162402603,0.6993757277851057,,0.6843688515852289,0.6793350449844789,,,0.7121988378074398,0.694489514087459,0.6784567157750366,,,0.6773417059698068,0.702243100714939,,,,,,,,,,,,,0.7043161381956153,,0.7070648809344039,,0.778867867445572,0.671089146640337,,0.6861932210779926,,0.6983315423970295,,,,,,0.6882924931606808,,,0.6675859610940897,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
m480,,0.6365117984794514,0.6329762569866586,0.6652781642221348,,0.6664098106550091,0.6808568525623696,,0.6610239439682515,,0.638804132333186,0.6518035147452814,,0.6516903371230545,0.6600564989881627,,,,,,0.6411282885515762,,,,,0.6615494072425824,0.6432972217484496,,0.6603244972817415,0.6415448815565469,0.6409273216226505,,0.6895285490354961,0.6626055601915015,0.6625993204027164,,,,,,,0.6574999034586841,,,,,,,0.6868133253308087,,,0.6838828865939585,,0.6694478177179667,0.6301631672480165,0.673165902827088,0.6608776969311404,,,,,0.6289316155278919,,,,,,,,,,,,,,,,0.6323607513598418,,,,,,0.6320868940060017,,,,,,,,,,,,,,0.6280072265888862,,
m2028,0.7246919911236379,0.7691368538096595,0.7475721061234765,,,,,0.7410291050889166,,0.7583527889533997,,0.7946062605581683,,0.7834399056983685,0.7932458126160603,,,0.8213375400500771,0.7243588757606193,,,,,0.799353562168151,0.7887166085853248,0.7858709316128223,,0.7235252465550503,,0.7247366970982196,,,0.7307364111056608,0.7478650017068746,,,,0.7384551876964883,0.772098598480528,,,,,0.7475275005790272,,,,,,0.7531790699693302,0.7261426091229064,0.7370168301614349,0.744902900428605,0.7445940976442716,,0.7400834220847751,,0.7309733834516363,,,0.7470348759482625,,,,,,,,,,,,,,,,,,,,0.734997024594453,,,,,,,,,,0.7244000765083392,,,,,,,,,
m589,,0.7128395588419614,0.7216085685069853,0.6982312332304735,0.6808568525623696,0.697499765289749,,0.7506530752715863,0.7089801215661735,0.6850262126315655,,0.7383450573682901,,0.7008525677466556,0.7165018868872695,,,,,,,,,0.701828463377375,,,0.6754116045217755,0.6866223631875186,0.8098949567811087,0.6888107658548338,0.7272152783226787,,0.7254566772063138,0.6994776819429696,0.7646887672592488,0.6782569969655705,,,,,,,,,,,,,0.690351491751987,0.679021288686352,,0.7753278921505639,0.6840650816640217,0.6790018487819162,,0.7142452501731662,0.7095842839450237,,0.6887763263658304,,,,,,,,,,,0.6831103080302775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
m2571,0.7247996432023627,0.7923747116828529,0.7777734515872652,0.7232806488626632,,0.7410291050889166,0.7506530752715863,,,0.7314432805699912,,0.7821046505526332,,0.7811103830225459,0.7529287736842102,,0.7459143414047921,0.7214559753655216,,,,,,0.7755430534768075,0.708280046571375,,,0.7234870446841559,0.7445507879267959,0.7144337960608211,0.7108085802366411,,,0.7506507053307601,0.7438584873723801,0.7459309569254049,,,0.7700490636025703,,,,,,,,,,,,,0.7223473293270485,,,,0.7377374910532641,,0.7462369614308009,0.7220755551207372,,0.713889576804199,,,,,0.7084049653263607,,,,0.7311947018947579,,0.7288522452342828,,,,,,,,,,,,,,,,,,,,,,,,,,,,
m1270,,0.7266297061751803,0.7183683639055046,0.6998680926282528,,0.6786247508419729,0.7089801215661735,0.6759987412013913,,,,0.7588288643610988,,0.7176250096098276,0.7022906040209616,,0.6946841215308261,0.6934689501725866,,0.6738421332988148,0.7013878876942127,,,0.7157271718251947,,0.7042151842710347,0.73255664704805,,0.7064081552359696,0.7300391143172955,,,0.719043783185306,,,,,0.6797173919604278,,,,,,,0.671767651292471,,,,0.675490827106979,,,0.7346015551572003,,0.6754572469842481,,0.7436617364307141,0.6912080757564482,,0.7128779766117765,,,,,,,,,,0.7057874412687986,0.6985509807047224,,,,,,,,,,,,,,,,,,,,,,,,,,0.680529053002538,,,,
m593,0.7358460864159471,0.760336572173429,0.7378467331970392,,,0.7583527889533997,,0.7314432805699912,,,,0.7935226136207738,0.7269058155573203,0.7863804418754502,0.7432921459664881,,0.71797096356865,0.7889729814909963,0.7421578910510596,,,,,0.8159172512711168,0.8128150690444841,,,0.7662091442313671,0.7293683592668976,,0.740942554651963,,0.7272203140378544,,0.7409749837980708,,,,0.8019235273496463,,,,,0.791577714759049,,,,,0.7441113522313937,0.7746742540468716,0.7212230046449335,,0.7561083615775046,,,0.7210195564231274,,0.732119002419652,,,0.7356655437882049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.731476370867313,,,,,0.7233238615624663,,,,
m1580,,0.5981899322078674,0.5928194121941676,0.5977292333192696,0.638804132333186,,0.5988237770809469,0.6223825535285982,0.6108593624143344,,,0.6030077253687742,,0.6174989241001706,0.5935049697759252,,0.6012487146684614,,,,,,,,,0.5915825259373644,0.6447024113459077,,,0.6207523222953898,,,0.6005717850869985,0.6078667713246377,,,0.591966985686676,,,,,0.6631254071651768,0.6131734203940482,,,,,0.5918736045037003,,,,0.5914960312734432,,0.5978274122108475,0.5972638781317726,0.5948322527133951,0.6251514100729525,,0.6095701802715761,,,,,,,,0.6059573214689903,,,,,,,,,,,,,,,,,0.6198956865206801,,,,0.5973786015582753,,,,,,,,,,,,0.6192747506029398
m1198,,0.8772579928089339,0.8490952535566535,0.7705685719753199,,0.7946062605581683,,0.7821046505526332,0.7588288643610988,0.7935226136207738,,,,0.818288323677931,0.7793202021524354,,0.7896875978217308,0.8193041494354416,0.7653971024110533,,,,,0.8385783888091543,0.8216590705280044,,,0.7503970756224164,0.7893156568591988,0.7686838176298443,,,0.7686906937422099,,,,,,0.824837628987307,,,,,0.766256082000478,,,,,0.7530899334629773,0.7698212882277078,0.7808498245714973,0.7936487556184153,0.764897175196771,0.7492378377489199,,0.8186774309728706,,0.7884959578149483,0.7552439996587796,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7636050602969624,,,,,,,,,
m608,0.7446946576342323,0.7063154957795269,0.6810018029529766,,,0.6904274882409563,,,,0.7269058155573203,,0.700665628159993,,0.681865134181619,,,0.6814685658048256,0.7180573974960581,0.7472385484464485,,,,0.737282485820822,0.706550287036778,0.769943756422362,,,0.7839575548560392,,,0.7010045227186653,,,,,0.7192216437993543,,,0.758881869382779,,,,,0.7754090275226335,0.6776121882362655,,,,0.6843361119118739,0.7508169831074593,0.7139310525473295,,0.7605895476783344,,,,,0.7298166799014543,,,,,,,0.6956456139380349,,,,,,,,,,,0.7215506343840076,,,,,0.7027389531598832,,,,,0.7086143718026536,,,,,0.8024205982789114,,,,,0.7006838830374935,,,,
m2762,0.7307800108684004,0.7928022026377768,0.7707012261917956,,,0.7834399056983685,,0.7811103830225459,,0.7863804418754502,,0.818288323677931,,,0.7545523192590013,,0.7413794903486711,0.787207751686718,0.7260281604549226,,,,,0.8243205084824747,0.7647066127550075,0.7354710250481469,,0.7294213917969093,0.7468545322068563,0.7289048629374278,0.7293719844064409,,0.7502688874821022,0.740166251928672,0.7258460204045941,,,,0.8030845607939443,,,,,0.7425747137320775,,,,,,0.754118178321989,,0.7409102136079294,,,,0.7604615501494165,,0.7337666931145954,0.7482934975295996,,0.761017979881824,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.735154663409892,,,,
m110,,0.7577085682975738,0.7484335262554187,0.7175957895159616,,0.7932458126160603,0.7165018868872695,0.7529287736842102,,0.7432921459664881,,0.7793202021524354,,0.7545523192590013,,,0.7199611311091185,0.7596288457225941,,,,,,0.7983426166949955,0.7270953487089084,0.7577353266390736,,,0.7160682069564918,,,,0.7491582309501222,0.7813122666977267,,,,0.7100066569165651,0.7576323771248874,,,,,,,,,,,0.7170926061771732,,0.7544291339611842,0.7362527746989792,0.7459348003955019,,0.7516321846653415,0.7309949389438887,0.7126190945248485,,,0.7331697122698401,,,,,,,,,0.7143604023129018,,,,0.7241371422911678,,,,,,,0.7143066310382558,,,,,,,,,,,,,,,,,,,
m2396,0.6719893755050697,0.6807287380592131,0.6436579812032787,,,,,0.6686234530972487,,0.6489325558067188,,0.6946087078750004,0.6460647585292737,0.6901409780871061,0.6696315674405783,,0.6896566305467907,0.7093729259905998,0.679124754914757,,,,,0.6942117133149528,0.6541408990985296,,,0.6407102881586216,,0.675949413650653,,,,0.6617983751006159,,,,,0.6982304569847959,,,,,0.6675674444453168,0.6408864012348687,,,0.6418075358660416,,,0.6912765811510807,,,,,0.6563042522590686,,,0.6893635689443975,0.7053547307396164,0.6595546836577348,,,,,,,,,0.6590798850054773,,,,,,,,,,,,,,,,0.6826206483082715,,,,,0.6816289005413276,,,,,0.6468227736090955,,,,
m1197,0.7008985571190373,0.7762548473123183,0.7639866373185611,,,0.719392278026339,,0.7459143414047921,,0.71797096356865,,0.7896875978217308,,0.7413794903486711,0.7199611311091185,,,0.7526008250435815,0.7084685586191977,,,,,0.7966070653654422,0.7345338790324347,,,0.7048113410181321,,0.7272416085180187,,,0.703649548460694,,,,,0.7073003370165081,0.7835475801029307,,,,,0.7158821834235729,0.7156857130465251,,,,,,0.7341850595798423,,,,,0.733973560381888,,0.7885810513040987,0.71720465177281,,0.7073870348950998,,,,,,,,,0.7532376130479421,,,,,,,,,,,0.7028420164032927,,,,,0.7065789044769479,,,,,0.7423617629320274,,,,,0.7350874684486477,,,,
m527,0.7443739719823776,0.7914298505895994,0.7594796299564757,,,0.8213375400500771,,,,0.7889729814909963,,0.8193041494354416,,0.787207751686718,0.7596288457225941,,0.7526008250435815,,0.7362331550390113,,,,,0.8467926721229289,0.821178717150764,0.739199859488908,,0.7258003248816056,,0.7332233964420268,,,0.7455948655128334,,,,,0.7486022783985756,0.8056822277257075,,,,,0.795562804920382,0.7406207875817523,,,,,0.7725303585580485,0.7937103309972464,,0.7416382925355092,,,0.7556541537173567,,0.7410128577655888,0.7280853391194986,,0.7686395529583444,,,,,,,,,,,,,,,,,,,,0.7500214017778213,,,,,0.7474540493244441,,,,,0.7750595879257298,,,,,,,,,
m1617,0.7609372693951981,0.7450695528611925,0.7179170540347293,,,0.7243588757606193,,,,0.7421578910510596,,0.7653971024110533,0.7472385484464485,0.7260281604549226,,,0.7084685586191977,0.7362331550390113,,,,,0.7073340725033028,0.7466855428520363,0.7890396505230033,,,0.75397002752471,,,0.7077695037867376,,,,0.7178558915154166,0.7240234318058888,,0.6969936902403189,0.7983569148257404,,,,,0.7598299034329112,,,,,,0.7709889928043117,0.7517729752809565,,0.7576591992050268,,,0.6953725288392479,,0.7273012924333777,,,,,,,,,,,,,,,,,,0.7090328072319645,,,,,0.7279994793922517,,,,,0.6951039894147012,,,,,0.7651575117479005,,,,,0.6963908340513338,,,,
m1265,,0.6564963525632435,0.6525378983875494,,,,0.6619863674480422,0.6808957287357328,0.6738421332988148,,,0.6803379446190607,0.6547792283332967,0.6677491772474736,,,0.6669357512938081,0.6522548972199622,,,,,,0.6725691887307912,0.6525530409970614,,0.6877597839227659,,0.6853695003495901,0.6515136049791994,0.6563037565741278,,,,0.6716414298366732,0.6934460725500675,,,0.6693445336505185,,0.6526271844744681,,,0.6482857745830418,,,,,,0.6552279753715491,,0.6732902836253328,0.6551344057701958,,,0.6597967342249185,,0.6554319126829946,0.6628056237974679,,,,,,,0.648945961732234,,,,0.6510443061393405,,,,,,,,,,,,,,,,,,,,,0.6692096190058333,,,,,,,,,
m1097,,0.6876890599942832,0.6683825657731682,0.6570877123809569,,0.6686052648266668,,,0.7013878876942127,0.6686968765638986,,0.7154670813576429,,0.6612928028864613,0.6565886292975754,,,0.6888349999881261,,,,,,0.6925406335896306,,0.6897847758458816,,,0.6524831552459627,0.7020095780842737,,,0.6478105766436194,,,,,0.6942609278338223,0.6597166550062523,,,,,0.6517257415457881,0.6938647869997197,,,,0.6829134190650965,,,0.6695178325163602,,,,0.6588833256907918,,,0.66478511012084,0.6673474408122743,,,,,,,,,0.6927993694561154,0.6613903481004962,,,0.7170065384499581,0.6456843888796027,,,,,,,0.6570869458836728,,,,,,,,,,,,,,,0.6661368077529406,,,,
m2628,,0.5416404883469151,0.5556372375278523,0.6559946251020163,0.6034337868866941,,,,0.5480276099702164,,0.536003608765767,,,,0.5403649128179089,,,,,,,,,,,0.5517765300147606,0.5350288670138861,,,,,,0.5337576890669861,0.5502869504285264,,,,,,,,0.6095744402935814,,,,,0.5578510161611252,,,,,,,0.5329708608359061,0.5308875007758856,0.5633450313067141,0.5492205890484345,,,,,0.5493263412258618,,0.6121280061040694,,,0.5703875638542935,,,,,,,,,,0.5415034584880132,0.5620328368960031,,0.5569061575794114,,,,0.5314029655070617,0.5655848541498695,,0.5459650899582242,0.5533220075245224,,,,,,,0.5567427276202139,,,0.5306754563055671,,0.5946215534301612
m2997,0.7280099666647449,0.6782166074557999,0.6740744934104369,,,,,,,0.6830187837845039,,0.6671084316127217,0.737282485820822,,,,0.672136358038834,0.6735023534668076,0.7073340725033028,,,,,0.6777138472227527,0.6978222809552382,,,0.7357508996638479,,,0.6646783598166025,,,,,0.733055281783615,,,0.7349632492886062,,,,,0.73344334905714,,0.6625723958535524,,,,0.680467250612435,0.6740200792718719,,0.6958937627709566,,,,,0.6987688732166291,,,,,,,0.726098591668561,0.6981122876249817,,,,,,0.7561334107787601,,,,0.7198509121244312,,,,,,,0.6619456869351312,,,0.6638675804709684,,,0.7178055606779981,,0.7639259482538092,,,,,0.6544626868488429,,,,
m318,0.7658889554720192,0.8096801622823916,0.7837078628044643,,,0.799353562168151,,0.7755430534768075,,0.8159172512711168,,0.8385783888091543,,0.8243205084824747,0.7983426166949955,,0.7966070653654422,0.8467926721229289,0.7466855428520363,,,,,,0.8209427801898982,0.7723322329100762,,0.7497147399546512,,0.7538112286795127,,,0.761751809275714,,,,,0.7854586309886773,0.8487293902503981,,,,,0.8152049965651992,,,,,,0.7831275610797461,,,0.7678462706608922,,,0.773544422104856,,0.7696060964394487,0.7509170714496661,,0.8028752793127321,,,,,,,,,0.7637985165704969,,,,,,,,,,,0.7399449958637865,,,,,,,,,,0.7615302181695229,,,,,0.762857849379667,,,,
m858,0.7677556563415013,0.8037456821890387,0.7691283055665824,,,0.7887166085853248,,,,0.8128150690444841,,0.8216590705280044,0.769943756422362,0.7647066127550075,0.7270953487089084,,0.7345338790324347,0.821178717150764,0.7890396505230033,,,,,0.8209427801898982,,,,0.7917581416412611,0.7223795004846887,,0.7425627045924713,,,,0.7265678515512491,0.7748217018828658,,,0.8389560573841237,,,,,0.8234759241317691,0.7317229904033267,,,,0.7560170588017718,0.923328641814472,0.8024218152418662,,0.8327720507193686,,,,,0.7790849337580696,,,,,,,,,,,,,,,,,,,,,,,0.7845868670614353,,,,,0.7527642578163024,,,,,0.8232798700766026,,,,,0.7545128537371653,,,,
m356,,0.6884510848549659,0.675411497420132,0.6887114162402603,,0.7858709316128223,0.672605623451397,0.688978074376513,0.7042151842710347,0.7012890104604422,,0.7096088572306378,,0.7354710250481469,0.7577353266390736,,,0.739199859488908,,,0.6897847758458816,,,0.7723322329100762,,,,,,0.6970301081749413,,,0.711146059801569,0.7063035279084753,,,,0.6844734403784096,0.6708711308223573,,,,,,,,,,,,,0.6998094039035979,,0.6894170385597055,,0.713454130583032,,,0.6898355961349439,0.6911144862065818,0.7315080662787545,,,,,,,,,0.6764249800503206,,,,0.6738428450227884,,,,,0.6912562563345502,,,,,,,,,,,0.6711686146258986,,,,,,0.7036104557034956,,,,
m2716,,0.712094146450429,0.7272014736494645,0.6993757277851057,,,0.6754116045217755,0.6827712739553674,0.73255664704805,,,0.7389573375797707,,0.6691508562681489,0.6878432578966708,,0.688795423425853,,,0.6877597839227659,,,,0.668119659971019,,,,,0.6903504468719485,0.6706493945508355,0.6910009630674694,,0.6552930945775011,,0.7082505085258842,,0.6605138333876285,0.6527668537663871,0.6680219055253894,,0.6523313082524946,,,,,,,,0.6559274558377445,,,0.716472590785027,,,,0.7037967758922932,0.6768585717857918,0.6736966323177407,0.6923767240373285,,,,,,,,,,,0.68160540950594,,,,,0.6784406422225555,,,,,,,,,,,,,,,,,,,,,,,,0.6857121984175399,
m296,0.7737433944992282,0.7484508877650652,0.7339164610011777,,,0.7235252465550503,,0.7234870446841559,,0.7662091442313671,,0.7503970756224164,0.7839575548560392,0.7294213917969093,,,0.7048113410181321,0.7258003248816056,0.75397002752471,,,,0.7357508996638479,0.7497147399546512,0.7917581416412611,,,,,,0.7085272845708153,,,,0.711033185800466,0.7292354748708061,,0.7100044846397516,0.787050564682015,,,,,0.759994079072909,,,,,,0.7791037846287243,,,0.811574545924473,,,,,0.7386189182776388,,,0.7026148391434207,,,,,,,,,,,0.709961879589514,,,,0.7128942525909626,,,,,,,0.7048959376276294,,,,,,,,0.7620263414256143,,,,,0.7131279752303834,,,,
m1240,,0.7573264325647202,0.7418004945158925,,,0.7200614049038855,0.8098949567811087,0.7445507879267959,0.7064081552359696,0.7293683592668976,,0.7893156568591988,,0.7468545322068563,0.7160682069564918,,0.6884119779219506,0.7009620766323847,,,,,,0.7223952586789155,0.7223795004846887,,0.6903504468719485,0.6953076375237778,,,0.7853340677002867,,0.7245641898569486,,0.76750489611804,0.7498278440283956,,,0.7219922882653809,,,,,,,,,,0.7126518581209405,0.7081690971646601,,0.7890972314159457,0.6974244024481373,,,0.7017363125914244,0.723385268982886,,,,0.6873390515491136,,,,,,,,,,,,0.6916906654679837,,,,,,,,0.7038482349607418,,,,,,,,,,,,,,,,,,,
m1,,0.7411482405912088,0.7385261273396602,,,0.7247366970982196,0.6888107658548338,0.7144337960608211,0.7300391143172955,0.7063221214691665,,0.7686838176298443,,0.7289048629374278,0.6913822107094696,,0.7272416085180187,0.7332233964420268,,,0.7020095780842737,,,0.7538112286795127,0.6912763914925898,0.6970301081749413,,,,,,,0.700978254820555,,0.6925599262296755,,,0.6880425757042382,,,,,,,0.7147083293373506,,,0.7447399390342333,,,0.6993170697270832,0.7152485248528525,,,,0.7224221317275299,,,0.876596926790187,0.6884151564675428,,,,,,,,,0.6904225319016242,0.6887321761594626,,,,,,,,,,,,,,,,,,,,,,,,,,0.7408291151586486,0.7058744067108755,,,
m1214,,0.7218597653891449,0.7242794594976254,,,0.7048959273355884,0.7272152783226787,0.7108085802366411,,0.740942554651963,,0.7477753376152797,0.7010045227186653,0.7293719844064409,0.6898993247312912,,,0.7045482032216983,0.7077695037867376,,,,,0.7209052658512967,0.7425627045924713,,0.6910009630674694,0.7085272845708153,0.7853340677002867,,,,,,0.838900607695951,0.7789878882426371,,,0.7540553837843363,,,,,0.7020690980906128,,,,,0.7727774238841392,0.7420042799047438,,0.7148901028090902,0.6977566818915298,,,,,0.7034392246442922,0.6995219206119063,,,,,,,,,,,,,,0.6971106570841026,,,,,,,,,,,,,,,,,,0.7033262906830735,,,,,0.6926485329241167,,,,
m2916,,,,,0.6099700731692407,,0.6449194646331976,0.6014630609405492,0.5970426748768692,,0.5816154495444634,0.5738221998685217,,0.5747897592388593,0.6168865845989184,,,,,0.5742466942248665,,,,,,0.5932355538499227,0.5856908817492098,,0.6320563269874669,,0.5828282194378323,,0.61636316563551,0.5792258080044226,0.5847163858095145,,,,,,,0.5778862681459715,,,,,,,,,,0.6332895502428221,,0.6015217801805764,,0.5829989926301257,0.6473381960343992,,,,,,,,,,0.5770650893824611,,0.5786815536097616,,,,,,0.5853572452783296,,,,,,,,,0.6401643480518141,0.5921822194839064,,,,,0.5737471386753193,,,,,,,,0.5915399425993855,0.5760952877674397,0.5897937048132085
